,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
36,Burkina Faso,BFA,Burkina Faso,2007,9300.0,14800000.0,14.8,62.8
6,Angola,AGO,Angola,2007,13000.0,20800000.0,5.8,62.5
126,Equatorial Guinea,GNQ,Equatorial Guinea,2007,600.0,1040000.0,7.0,57.7
186,Guinea,GIN,Guinea,2007,5200.0,9660000.0,2.9,53.8
276,Mauritius,MUS,Mauritius,2007,600.0,1270000.0,8.9,47.2
356,Sierra Leone,SLE,Sierra Leone,2007,2500.0,5750000.0,5.3,43.5
16,Benin,BEN,Benin,2007,3200.0,8950000.0,9.9,35.8
266,Mauritania,MRT,Mauritania,2007,1100.0,3090000.0,8.6,35.6
336,Sao Tome and Principe,STP,Sao Tome and Principe,2007,60.0,170000.0,13.2,35.3
166,Gambia,GMB,Gambia,2007,600.0,1770000.0,11.3,33.9
256,Mali,MLI,Mali,2007,4700.0,14500000.0,11.4,32.4
306,Niger,NER,Niger,2007,4300.0,14800000.0,11.5,29.1
366,Somalia,SOM,Somalia,2007,3100.0,11300000.0,,27.4
386,Sudan,SDN,Sudan,2007,6000.0,32800000.0,7.7,18.3
346,Senegal,SEN,Senegal,2007,1700.0,11800000.0,11.8,14.4
86,Comoros,COM,Comoros,2007,60.0,617000.0,12.5,9.7
236,Madagascar,MDG,Madagascar,2007,1600.0,20300000.0,14.7,7.9
437,Zimbabwe,ZWE,Zimbabwe,2008,110000.0,13000000.0,,846.2
147,Eswatini,SWZ,Eswatini,2008,8600.0,1100000.0,10.3,781.8
377,South Africa,ZAF,South Africa,2008,380000.0,51100000.0,11.5,743.6
217,Lesotho,LSO,Lesotho,2008,14000.0,1970000.0,11.1,710.7
247,Malawi,MWI,Malawi,2008,62000.0,14000000.0,14.2,442.9
27,Botswana,BWA,Botswana,2008,7900.0,1950000.0,16.6,405.1
297,Namibia,NAM,Namibia,2008,8200.0,2050000.0,12.1,400.0
287,Mozambique,MOZ,Mozambique,2008,73000.0,21800000.0,10.5,334.9
427,Zambia,ZMB,Zambia,2008,42000.0,13000000.0,15.3,323.1
67,Central African Republic,CAF,Central African Republic,2008,12000.0,4560000.0,8.4,263.2
417,Uganda,UGA,Uganda,2008,74000.0,30500000.0,10.6,242.6
397,Tanzania,TZA,Tanzania,2008,100000.0,42600000.0,13.7,234.7
207,Kenya,KEN,Kenya,2008,91000.0,39200000.0,6.3,232.1
57,Cameroon,CMR,Cameroon,2008,37000.0,18600000.0,5.6,198.9
107,Cote d'Ivoire,CIV,Cote d'Ivoire,2008,41000.0,21500000.0,6.5,190.7
47,Burundi,BDI,Burundi,2008,15000.0,8510000.0,8.2,176.3
157,Gabon,GAB,Gabon,2008,2500.0,1610000.0,5.1,155.3
317,Nigeria,NGA,Nigeria,2008,220000.0,158000000.0,7.8,139.2
407,Togo,TGO,Togo,2008,8300.0,6370000.0,13.5,130.3
97,Congo (Brazzaville),COG,"Congo, Rep.",2008,5000.0,4110000.0,5.3,121.7
77,Chad,TCD,Chad,2008,13000.0,11500000.0,3.3,113.0
117,Djibouti,DJI,Djibouti,2008,1000.0,893000.0,14.2,112.0
227,Liberia,LBR,Liberia,2008,3900.0,3820000.0,17.2,102.1
327,Rwanda,RWA,Rwanda,2008,9600.0,9800000.0,21.9,98.0
197,Guinea-Bissau,GNB,Guinea-Bissau,2008,1200.0,1490000.0,4.1,80.5
177,Ghana,GHA,Ghana,2008,19000.0,24200000.0,12.2,78.5
137,Eritrea,ERI,Eritrea,2008,1700.0,2820000.0,3.6,60.3
7,Angola,AGO,Angola,2008,12000.0,21600000.0,6.4,55.6
127,Equatorial Guinea,GNQ,Equatorial Guinea,2008,600.0,1080000.0,7.0,55.6
37,Burkina Faso,BFA,Burkina Faso,2008,8300.0,15300000.0,16.3,54.2
187,Guinea,GIN,Guinea,2008,5000.0,9900000.0,4.4,50.5
277,Mauritius,MUS,Mauritius,2008,600.0,1270000.0,8.0,47.2
357,Sierra Leone,SLE,Sierra Leone,2008,2700.0,5890000.0,6.4,45.8
267,Mauritania,MRT,Mauritania,2008,1100.0,3180000.0,7.3,34.6
337,Sao Tome and Principe,STP,Sao Tome and Principe,2008,60.0,174000.0,13.2,34.5
17,Benin,BEN,Benin,2008,3100.0,9230000.0,9.4,33.6
167,Gambia,GMB,Gambia,2008,600.0,1820000.0,11.3,33.0
257,Mali,MLI,Mali,2008,4700.0,14900000.0,12.2,31.5
307,Niger,NER,Niger,2008,4400.0,15400000.0,11.9,28.6
